"id","Review Title","Review Text","Review Rating","Review Date","Review Language","Review Likes","Review Verified","Review Source","Review Source Name","Review Experience Date","Review Updated Date","Reviewer Name","Reviewer Image","Reviewer Country","Reviewer Review Count","Company Reply","Company Reply Date"
"6a0742a152ab2e60e6ac7e51","#SBBKatastrophe","Ich interpretiere die Leistung der SBB als „übertrieben teuer und schlecht“ 
(vergl. Unpünktlichkeit, Unzuverlässigkeit, mangelnde Sauberkeit, anmassend hoher Preis).
Wer glaubt, dass die SBB der DB irgendwie signifikant überlegen ist, liegt auf Länge falsch. #SBBKatastrophe ","1","2026-05-15T17:58:25.000Z","de","0","No","invitation","Organic","2026-05-15T00:00:00.000Z","Not Available","Andreas","Not Available","CH","2","Not Available","Not Available"
"6a05c9413da2e0a3ca71d13a","Seit 10 Jahren habe ich das GA und nun…","Seit 10 Jahren habe ich das GA und nun habe ich ein 150CHF Gutschein erhalten. Der erste Gutschein seit 10 Jahren. Also 15CHF pro Jahr. Jeder 1/2 PLUS kriegt hunderte von Franken jährlich geschenkt aber nein, dem lieben GA Besitzer gibts nach 10 Jahren ein kleiner Gutschein für die Treue. Absolute Frechheit. Behaltet doch den s*** als sowas.  ","1","2026-05-14T15:08:17.000Z","de","1","No","invitation","Organic","2026-05-14T00:00:00.000Z","Not Available","Christian Roesch","https://user-images.trustpilot.com/6586f1a2fe7f2700115c4a77/73x73.png","MX","12","Not Available","Not Available"
"6a04c57570e9d4d0347e5ea9","sbb gibt keine Möglichkeit in Ruhe zu…","sbb gibt keine Möglichkeit in Ruhe zu reisen da alle ihr HANDY in aller Lautstärke benutzen!!
wie weiter?
ein Volk von Egoisten!!!
traurig nervig","1","2026-05-13T20:39:49.000Z","de","1","No","invitation","Organic","2026-05-13T00:00:00.000Z","Not Available","Elsbeth Sommer","https://user-images.trustpilot.com/6a04bc77791905579b2b2a49/73x73.png","CH","1","Not Available","Not Available"
"6a049fc28d89e7682911c9d6","Grunsätzlich toll aber nervige Sitzplatzreservierung ","Im Grunde ist die SBB ein fantastisches Unternehmen, das die Schweiz mit pünktlichen Zügen und einer vorzüglichen Bahninfrastruktur bereichert. Immer wieder staune ich, wie die SBB wie eine Schweizer Präzisionsuhr im Minutentakt riesige Pendlermengen um die Agglomerationen bewegt – ein riesiges, kompliziertes Uhrwerk mit Zahnrädern, die ineinandergreifen und aufeinander abgestimmt sind.

Allerdings nervt ein Phänomen immer mehr: die Sitzplatzreservierung. Wenn die Leute merken, dass ein Zug stark belegt ist, buchen sie vermehrt kurzfristig Sitzplätze. Diese Expressreservierungen werden nicht angezeigt. Ein Reisender bucht ein 1.-Klasse-Ticket, kontrolliert nochmals, ob sein Sitzplatz reserviert ist – nur um dann kurz darauf vertrieben zu werden. 1. Klasse gekauft, Stehplatz erhalten. Diese stehende Person könnte wiederum einen Sitzplatz kurzfristig reservieren, und die Reise nach Jerusalem geht los.

Für die SBB bedeutet das mehr Umsatz. Und weil niemand sicher sein kann, dass der Sitzplatz doch reserviert wurde (da die SBB dies nicht richtig anzeigen kann), müsste man gleich selbst reservieren. Sehr häufig gibt es Diskussionen, und alle nerven sich. Tolles System, oder?","4","2026-05-13T17:58:58.000Z","de","0","No","invitation","Organic","2026-05-13T00:00:00.000Z","Not Available","Michael Herger","Not Available","CH","3","Not Available","Not Available"
"6a03534bb2f3568fc808e6f5","Ständige Verspätungen, dreckige oder mangelnde Sitze & überteuerte Preise","Wie kann es sein, dass die Züge ständig Verspätung haben? Einzelne Verzögerungen können natürlich vorkommen, aber innerhalb von nur zwei Tagen hatten mehrere meiner Züge Verspätungen von fünf Minuten oder mehr.

Bei den hohen Preisen des öffentlichen Verkehrs ist das wirklich enttäuschend. Dazu kommt, dass man oft keinen Sitzplatz findet und die Sitze teilweise verstaubt und verschmutzt sind.

Langsam schäme ich mich für die Schweizer Bundesbahnen. Es sollte dringend etwas unternommen werden: Entweder die Preise werden aufgrund der mangelhaften Qualität gesenkt oder die Qualität des Services wird deutlich verbessert.","1","2026-05-12T18:20:27.000Z","de","1","No","invitation","Organic","2026-05-12T00:00:00.000Z","Not Available","Kanita Shabani","Not Available","CH","2","Not Available","Not Available"
"69fdea2a7337a8034dfe3e04","Absurde Konditionen","Absurde Konditionen","1","2026-05-08T15:50:34.000Z","de","0","No","invitation","Organic","2026-05-08T00:00:00.000Z","Not Available","Filip Martinu","https://user-images.trustpilot.com/69fdea257919054a7e23a6b2/73x73.png","CH","1","Not Available","Not Available"
"69fc45c0248618ffdd301b0d","Sehr schlechter service","Sehr schlechter service
Oft liegt müll rum 🤢
Schulklassen viel zu laut 😡
Leute die ohne kopfhörer musik hören und telefonieren 🤬
Toiletten die durch das ganze zugabteil stinken 🤮
Viele verspätungen 😡
Tickets und abos viel zu teuer 🤬
Dazu kommt 
Wenn tickets kontrolliert werden fragt man mich immer wieder wohin die reise geht 
Ich frage immer wieder 
Wofür ist das wichtig? 
Man sagt mir für die statistik 
Ich sage immer wieder 
Dazu möchte ich keine angeben machen 
Dann sagt man mir ab und zu 
Ich werde irgendwas als zielort angeben 
So schnell wird die statistik verfälscht 
Was soll das? 
Das ist ein absolutes no-go 
Wohin ich reise ist privatsache und geht niemand etwas an 
Das habe ich innerhalb von 4 monaten immer wieder erlebt (wiederholend)
","1","2026-05-07T09:56:48.000Z","de","2","No","invitation","Organic","2026-05-07T00:00:00.000Z","Not Available","Maria Locher","https://user-images.trustpilot.com/677cfd2185ddd76e002ae8c7/73x73.png","CH","8","Not Available","Not Available"
"69faa1f44ccc47e43c17943f","SBB? Nur wenns nicht anders geht!","Allgemeine Bewertung. Ich rate in der schweiz nicht dazu die sbb zu benutzen, wenn eine andere Möglichkeit verfügbar ist. Grund: Das System ist kompliziert und nicht sehr kundenfreundlich. Man kann versehendlich viele Fehler machen für die dann Strafen fällig werden können. Dabei ist man von der Kulanz von Mitarbeitern abhängig und es gibt viele unfreundliche. Ich verhalte mich als Schweizerin in der Schweiz selbst so und fahre damit gut.","1","2026-05-06T04:05:40.000Z","de","1","No","invitation","Organic","2026-05-06T00:00:00.000Z","Not Available","Nina Taranto","Not Available","CH","11","Not Available","Not Available"
"69fa450416d8589cfe715ab8","Ungerechtfertigt gedemütigt vom Personal","Gestern um ca. 18:30 Uhr gab es eine sehr unerfreuliche Begegnung bei einer Kontrolle im 1. Klasse-Zug (bei Duggingen).

Ich wurde richtig blöd angemacht, dass mein Ticket nicht gültig sei und ich mich umsetzen solle. Daraufhin habe ich der Frau gezeigt, dass ich die 1'576.- CHF bezahlt habe und es auch abgebucht wurde. Weiter habe ich ihr eine Mail gezeigt, worin steht, dass ich ab sofort mit der 1. Klasse fahren kann.

Sie hat sich am Schluss für ihr Vergreifen im Ton entschuldigt. Trotzdem bin ich sehr wütend über die Begegnung und das anfängliche Anschnauzen.

Sie hat auch eine Busse ausgestellt und gesagt, ich solle die nicht zahlen, sondern zum Schalter gehen und die Situation schildern.

Ich gehe natürlich nicht zum Schalter und bezahle selbstverständlich keine Busse. Ich habe alle Beweise, dass ich rechtmässig per sofort in der 1. Klasse fahren kann. Das Geld wurde abgebucht, es steht auch drauf, dass es gültig ist und es wurde mir per Msil bestätigt.

Die Busse muss umgehend zurückgezogen werden und der Fehler im System behoben werden, so dass mein U-Abo auch wirklich erfasst und gültig ist beim Scannen des QR-Codes. Noch so eine Begegnung verbitte ich mir.","1","2026-05-05T21:29:08.000Z","de","2","No","invitation","Organic","2026-05-04T00:00:00.000Z","Not Available","Yannick Hügli","https://user-images.trustpilot.com/6045706c8c276200196f8895/73x73.png","CH","4","Not Available","Not Available"
"69f97d98af7e79ab3d6e245f","Am 1 Mai von Luzern nach Bern ","Am 1 Mai von Luzern nach Bern hin und zurück 92 CHF. Nächstes mal organisiere ich mir wieder einen Fahrer, dann sitze ich wenigstens in meinem eigenen Dreck und spare erst noch Geld.","1","2026-05-05T07:18:16.000Z","de","1","No","invitation","Organic","2026-05-01T00:00:00.000Z","Not Available","Sven Schlaepfer","https://user-images.trustpilot.com/66ebf2490f9f4a189979f0ea/73x73.png","CH","8","Not Available","Not Available"
"Get Unlimited to see more than 10 rows.","","","","","","","","","","","","","","","","",""
"########################","########################################","###################################################################","#","########################","##","#","##","##########","#######","########################","#############","#####","#####################################################################","##","#","#############","#############"
"########################","#############","#############","#","########################","##","#","##","##########","#######","########################","#############","#####","#####################################################################","##","#","#############","#############"
"########################","##############################################","####################################################################################################","#","########################","##","#","##","##########","#######","########################","#############","#############","#############","##","##","#############","#############"
"########################","############","####################################################################################################","#","########################","##","#","##","##########","#######","########################","#############","########","#############","##","#","#############","#############"
"########################","##################################","####################################################################################################","#","########################","##","#","##","##########","#######","########################","#############","#######","#####################################################################","##","#","#############","#############"
"########################","#################################","####################################################################################################","#","########################","##","#","##","##########","#######","########################","#############","###########","#####################################################################","##","#","#############","#############"
"########################","######################################","####################################################################################################","#","########################","##","#","##","##########","#######","########################","#############","####","#############","##","#","#############","#############"
"########################","##############################","####################################################################################################","#","########################","##","#","##","##########","#######","########################","#############","##########","#####################################################################","##","#","#############","#############"
"########################","#######","####################################################################################################","#","########################","##","#","##","##########","#######","########################","#############","#########","#####################################################################","##","#","#############","#############"
"########################","######################################","####################################################################################################","#","########################","##","#","##","##########","#######","########################","#############","##############","#####################################################################","##","#","#############","#############"
